family,gov_doc,company_doc,n_words,phrase,published_first,formulaic
Cisco,2026-06-08_MOU_Cisco_AIOpportunities,2026-06-08_PRCO_Cisco_JoinsForcesUKGov,6,the uk s first tech town,same_day,False
NVIDIA,2025-06-09_MOU_NVIDIA_AISkills,2025-06_PRCO_NVIDIA_UKPartnership_,7,across industry research and the public sector,company,False
ElevenLabs,2026-06-08_MOU_ElevenLabs_AIOpportunities,2026-06-08_PRCO_ElevenLabs_UKMOUExpansion,6,position as a global hub for,same_day,False
ElevenLabs,2026-06-08_MOU_ElevenLabs_AIOpportunities,2026-06-08_PRCO_ElevenLabs_UKMOUExpansion,6,ensure the benefits of this technology,same_day,False
ElevenLabs,2026-06-08_MOU_ElevenLabs_AIOpportunities,2026-06-08_PRCO_ElevenLabs_UKMOUExpansion,7,linguistically diverse communities including welsh language services,same_day,False
ElevenLabs,2026-06-08_MOU_ElevenLabs_AIOpportunities,2026-06-08_PRCO_ElevenLabs_UKMOUExpansion,9,explore how ai can support workforce development and reskilling,same_day,False
ElevenLabs,2026-06-08_MOU_ElevenLabs_AIOpportunities,2026-06-08_PRCO_ElevenLabs_UKMOUExpansion,18,to make the uk one of the best places in the world to build deploy and use ai,same_day,False
Anthropic,2025-02-14_MOU_Anthropic_AIOpportunities,2025-02-14_PRCO_Anthropic_SignsMOUUKGov,7,department for science innovation and technology dsit,same_day,False
Anthropic,2025-02-14_MOU_Anthropic_AIOpportunities,2025-02-14_PRCO_Anthropic_SignsMOUUKGov,7,the uk s world leading startup community,same_day,False
Anthropic,2025-02-14_MOU_Anthropic_AIOpportunities,2025-02-14_PRCO_Anthropic_SignsMOUUKGov,8,existing uk strengths in r d and data,same_day,False
Anthropic,2025-02-14_MOU_Anthropic_AIOpportunities,2025-02-14_PRCO_Anthropic_SignsMOUUKGov,10,best practices for the responsible deployment of frontier ai capabilities,same_day,False
Anthropic,2025-02-14_MOU_Anthropic_AIOpportunities,2025-02-14_PRCO_Anthropic_SignsMOUUKGov,13,securing the supply chain for advanced ai and the uk s future infrastructure,same_day,False
Anthropic,2025-02-14_MOU_Anthropic_AIOpportunities,2026-01-27_PRCO_Anthropic_GOVUKPartnership,7,department for science innovation and technology dsit,government,False
Cohere,2025-06-16_MOU_Cohere_AIOpportunities,2025-06-15_PRCO_Cohere_CanadaUKPartnerships,6,uk s ai security institute aisi,company,False
Cohere,2025-06-16_MOU_Cohere_AIOpportunities,2025-06-15_PRCO_Cohere_CanadaUKPartnerships,6,ensuring the uk builds and retains,company,False
Cohere,2025-06-16_MOU_Cohere_AIOpportunities,2025-06-15_PRCO_Cohere_CanadaUKPartnerships,6,adoption of ai in defence contexts,company,False
Cohere,2025-06-16_MOU_Cohere_AIOpportunities,2025-06-15_PRCO_Cohere_CanadaUKPartnerships,11,secure ai solutions in areas of strategic importance to the uk,company,False
OpenAI,2025-07-21_MOU_OpenAI_AIOpportunities,2025-07-21_PRCO_OpenAI_StrategicPartnership,21,the uk s strengths in science innovation and talent to maintain a world leading uk ai ecosystem rooted in democratic values,same_day,False
OpenAI,2025-07-21_MOU_OpenAI_AIOpportunities,2025-07-21_PRCO_OpenAI_StrategicPartnership,29,potential routes to deliver the infrastructure priorities laid out in the ai opportunities action plan recognising the importance of uk sovereign capability in achieving the economic benefits of ai,same_day,False
OpenAI,2025-07-21_MOU_OpenAI_AIOpportunities,2025-07-21_PRCO_OpenAI_StrategicPartnership,30,expanding the existing partnership between openai and the uk ai security institute to include the development of a new technical information sharing programme partnering to deepen knowledge across government around,same_day,False
OpenAI,2025-07-21_MOU_OpenAI_AIOpportunities,2025-07-21_PRCO_OpenAI_StrategicPartnership,33,how advanced ai models can be deployed throughout government and the private sector to help civil servants work more efficiently and to support small businesses and citizens to navigate public services more effectively,same_day,False
OpenAI,2025-07-21_PRGOV_DSIT_OpenAIExpandUKOffice,2025-07-21_PRCO_OpenAI_StrategicPartnership,9,its intention to increase its footprint in the uk,same_day,False
OpenAI,2025-07-21_PRGOV_DSIT_OpenAIExpandUKOffice,2025-07-21_PRCO_OpenAI_StrategicPartnership,12,goals by turning ambition to action and delivering prosperity for all the,same_day,False
OpenAI,2025-07-21_PRGOV_DSIT_OpenAIExpandUKOffice,2025-07-21_PRCO_OpenAI_StrategicPartnership,14,a task that takes officials weeks in minutes while leaving important decisions to experts,same_day,False
OpenAI,2025-07-21_PRGOV_DSIT_OpenAIExpandUKOffice,2025-07-21_PRCO_OpenAI_StrategicPartnership,18,underpins multiple tools in humphrey whitehall s ai assistant that aims to speed up the civil service by,same_day,False
OpenAI,2025-07-21_PRGOV_DSIT_OpenAIExpandUKOffice,2025-07-21_PRCO_OpenAI_StrategicPartnership,18,the potential of ai through its ai opportunities action plan now it s time to deliver on the,same_day,False
OpenAI,2025-07-21_PRGOV_DSIT_OpenAIExpandUKOffice,2025-07-21_PRCO_OpenAI_StrategicPartnership,21,is used in consult the bespoke tool that speeds up the policy making process by automatically sorting public responses to consultations,same_day,False
OpenAI,2025-07-21_PRGOV_DSIT_OpenAIExpandUKOffice,2025-07-21_PRCO_OpenAI_StrategicPartnership,21,the uk s strengths in science innovation and talent to maintain a world leading uk ai ecosystem rooted in democratic values,same_day,False
OpenAI,2025-07-21_PRGOV_DSIT_OpenAIExpandUKOffice,2025-07-21_PRCO_OpenAI_StrategicPartnership,29,potential routes to deliver the infrastructure priorities laid out in the ai opportunities action plan recognising the importance of uk sovereign capability in achieving the economic benefits of ai,same_day,False
OpenAI,2025-07-21_PRGOV_DSIT_OpenAIExpandUKOffice,2025-07-21_PRCO_OpenAI_StrategicPartnership,35,sam altman said ai is a core technology for nation building that will transform economies and deliver growth britain has a strong legacy of scientific leadership and its government was one of the first to,same_day,False
OpenAI,2025-07-21_PRGOV_DSIT_OpenAIExpandUKOffice,2025-07-21_PRCO_OpenAI_StrategicPartnership,118,technology secretary peter kyle said ai will be fundamental in driving the change we need to see across the country whether that s in fixing the nhs breaking down barriers to opportunity or driving economic growth that s why we need to make sure britain is front and centre when it comes to developing and deploying ai so we can make sure it works for us this can t be achieved without companies like openai who are driving this revolution forward internationally this partnership will see more of their work taking place in the uk creating high paid tech jobs driving investment in infrastructure and crucially giving our country agency over how this world changing technology moves forward,same_day,False
OpenAI,2025-07-21_PRGOV_DSIT_OpenAIExpandUKOffice,2025-10-22_PRCO_OpenAI_NextChapterSovereignAI,8,in minutes while leaving important decisions to experts,government,False
OpenAI,2025-10-23_PRGOV_MOJ_OpenAIDataHosting,2025-10-22_PRCO_OpenAI_NextChapterSovereignAI,6,the deputy prime minister will also,company,False
OpenAI,2025-10-23_PRGOV_MOJ_OpenAIDataHosting,2025-10-22_PRCO_OpenAI_NextChapterSovereignAI,6,with the ministry of justice will,company,False
OpenAI,2025-10-23_PRGOV_MOJ_OpenAIDataHosting,2025-10-22_PRCO_OpenAI_NextChapterSovereignAI,9,deputy prime minister and lord chancellor david lammy said,company,False
OpenAI,2025-10-23_PRGOV_MOJ_OpenAIDataHosting,2025-10-22_PRCO_OpenAI_NextChapterSovereignAI,36,our partnership with openai places britain firmly in the driving seat of the global tech revolution leading the world in innovation and using technology to deliver fairness and opportunity for every corner of the united kingdom,company,False
OpenAI,2025-10-23_PRGOV_MOJ_OpenAIDataHosting,2025-10-22_PRCO_OpenAI_NextChapterSovereignAI,60,said the number of people using our products in the uk has increased fourfold in the past year it s exciting to see them using ai to save time increase productivity and get more done civil servants are using chatgpt to improve public services and established firms are reimagining operations we re proud to continue supporting the uk and the,company,False
OpenAI,2025-10-23_PRGOV_MOJ_OpenAIDataHosting,2025-09-16_PRCO_OpenAI_StargateUK,7,be based across a number of sites,company,False
OpenAI,2025-10-23_PRGOV_MOJ_OpenAIDataHosting,2025-09-16_PRCO_OpenAI_StargateUK,8,with the potential to scale to 31 000,company,False
OpenAI,2025-10-23_PRGOV_MOJ_OpenAIDataHosting,2025-09-16_PRCO_OpenAI_StargateUK,17,cobalt park which will form part of the newly designated ai growth zone in the north east,company,False
DeepMind,2025-12-11_MOU_DeepMind_AIOpportunitiesSecurity,2025-12-11_PRCO_DeepMind_DeepeningAISIPartnership,8,with the uk ai security institute aisi through,same_day,False
DeepMind,2025-12-11_MOU_DeepMind_AIOpportunitiesSecurity,2025-12-10_PRCO_DeepMind_StrengtheningPartnership,6,the us uk tech prosperity deal,company,False
DeepMind,2025-12-11_MOU_DeepMind_AIOpportunitiesSecurity,2025-12-10_PRCO_DeepMind_StrengtheningPartnership,6,with the uk ai security institute,company,False
DeepMind,2025-12-11_MOU_DeepMind_AIOpportunitiesSecurity,2025-12-10_PRCO_DeepMind_StrengtheningPartnership,7,ai enhanced approaches to national cyber resilience,company,False
DeepMind,2025-12-11_PRGOV_DSIT_NationalRenewalDeepMind,2025-12-11_PRCO_DeepMind_DeepeningAISIPartnership,6,is developed safely and benefits everyone,same_day,False
DeepMind,2025-12-11_PRGOV_DSIT_NationalRenewalDeepMind,2025-12-10_PRCO_DeepMind_StrengtheningPartnership,6,focus on what they do best,company,False
DeepMind,2025-12-11_PRGOV_DSIT_NationalRenewalDeepMind,2025-12-10_PRCO_DeepMind_StrengtheningPartnership,6,of areas such as crop resilience,company,False
DeepMind,2025-12-11_PRGOV_DSIT_NationalRenewalDeepMind,2025-12-10_PRCO_DeepMind_StrengtheningPartnership,7,our collaboration with the uk government and,company,False
DeepMind,2025-12-11_PRGOV_DSIT_NationalRenewalDeepMind,2025-12-10_PRCO_DeepMind_StrengtheningPartnership,9,excited to deepen our collaboration with the uk government,company,False
DeepMind,2025-12-11_PRGOV_DSIT_NationalRenewalDeepMind,2025-12-10_PRCO_DeepMind_StrengtheningPartnership,10,enabling researchers to tackle problems of unprecedented complexity and scale,company,False
DeepMind,2025-12-11_PRGOV_DSIT_NationalRenewalDeepMind,2025-12-10_PRCO_DeepMind_StrengtheningPartnership,13,will be built from the ground up to be fully integrated with gemini,company,False
